1.260,1.500,-0.019,-1.315,-0.047,-1.884,-0.250,-1.583,0.000,0.000
1.280,1.499,-0.057,-1.320,-0.095,-1.883,-0.250,-1.608,0.000,0.000
1.300,1.497,-0.094,-1.325,-0.142,-1.880,-0.250,-1.634,0.000,0.000
1.320,1.494,-0.132,-1.330,-0.189,-1.875,-0.250,-1.659,0.000,0.000
1.340,1.490,-0.169,-1.335,-0.236,-1.870,-0.250,-1.684,0.000,0.000
1.360,1.486,-0.207,-1.340,-0.283,-1.864,-0.250,-1.709,0.000,0.000
1.380,1.480,-0.244,-1.345,-0.330,-1.856,-0.250,-1.734,0.000,0.000
1.400,1.473,-0.281,-1.350,-0.376,-1.847,-0.250,-1.759,0.000,0.000
1.420,1.466,-0.318,-1.355,-0.423,-1.837,-0.250,-1.784,0.000,0.000
1.440,1.457,-0.355,-1.360,-0.469,-1.826,-0.250,-1.810,0.000,0.000
1.460,1.448,-0.391,-1.365,-0.514,-1.813,-0.250,-1.835,0.000,0.000
1.480,1.438,-0.428,-1.370,-0.560,-1.800,-0.250,-1.860,0.000,0.000
1.500,1.427,-0.464,-1.375,-0.605,-1.785,-0.250,-1.885,0.000,0.000
1.520,1.414,-0.499,-1.380,-0.650,-1.769,-0.250,-1.910,0.000,0.000
1.540,1.401,-0.535,-1.385,-0.694,-1.753,-0.250,-1.935,0.000,0.000
1.560,1.388,-0.570,-1.390,-0.738,-1.735,-0.250,-1.960,0.000,0.000
1.580,1.373,-0.604,-1.395,-0.781,-1.715,-0.250,-1.985,0.000,0.000
1.600,1.357,-0.639,-1.400,-0.824,-1.695,-0.250,-2.011,0.000,0.000
1.620,1.341,-0.673,-1.405,-0.866,-1.674,-0.250,-2.036,0.000,0.000
1.640,1.323,-0.706,-1.410,-0.908,-1.652,-0.250,-2.061,0.000,0.000
1.660,1.305,-0.739,-1.415,-0.949,-1.628,-0.250,-2.086,0.000,0.000
1.680,1.286,-0.772,-1.420,-0.990,-1.604,-0.250,-2.111,0.000,0.000
1.700,1.266,-0.804,-1.425,-1.030,-1.579,-0.250,-2.136,0.000,0.000
1.720,1.246,-0.835,-1.430,-1.069,-1.552,-0.250,-2.161,0.000,0.000
1.740,1.225,-0.866,-1.435,-1.108,-1.525,-0.250,-2.187,0.000,0.000
1.760,1.202,-0.897,-1.440,-1.146,-1.497,-0.250,-2.212,0.000,0.000
1.780,1.179,-0.927,-1.445,-1.183,-1.467,-0.250,-2.237,0.000,0.000
1.800,1.156,-0.956,-1.450,-1.220,-1.437,-0.250,-2.262,0.000,0.000
1.820,1.131,-0.985,-1.455,-1.255,-1.406,-0.250,-2.287,0.000,0.000
1.840,1.106,-1.013,-1.460,-1.290,-1.374,-0.250,-2.312,0.000,0.000
1.860,1.080,-1.040,-1.465,-1.324,-1.341,-0.250,-2.337,0.000,0.000
1.880,1.054,-1.067,-1.470,-1.358,-1.307,-0.250,-2.362,0.000,0.000
1.900,1.027,-1.093,-1.475,-1.390,-1.273,-0.250,-2.388,0.000,0.000
1.920,0.999,-1.119,-1.480,-1.422,-1.238,-0.250,-2.413,0.000,0.000
1.940,0.971,-1.144,-1.485,-1.452,-1.201,-0.250,-2.438,0.000,0.000
1.960,0.942,-1.168,-1.490,-1.482,-1.165,-0.250,-2.463,0.000,0.000
